"Destination Instance","Destination Function","CR Instance","Input CR#","Input SSS","Source Instance","Source Signal","MCXE315_MCXE316_100hdqfp","MCXE315_MCXE316_48lqfp"
"CAN0","CAN0_RX","SIUL","SIUL_IMCR512","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC2","30","17"
"","","","","0000_0010","IO_PAD","PTA6","58",""
"","","","","0000_0011","IO_PAD","PTB0","54","26"
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"CAN1","CAN1_RX","SIUL","SIUL_IMCR513","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC9","55","27"
"","","","","0000_0010","IO_PAD","PTA12","90","42"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTC2","30","17"
"CAN2","CAN2_RX","SIUL","SIUL_IMCR514","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC16","44","20"
"","","","","0000_0010","IO_PAD","PTC14","46","22"
"","","","","0000_0011","-","disable low","",""
"","","","","0000_0100","-","disable low","",""
"","","","","0000_0101","-","disable low","",""
"","","","","0000_0110","IO_PAD","PTC6","81","40"
"eMIOS_0","eMIOS_0_CH[0]_X","SIUL","SIUL_IMCR560","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTB12","68",""
"","","","","0000_0010","IO_PAD","PTD15","22","11"
"","","","","0000_0011","IO_PAD","PTC0","40",""
"eMIOS_0","eMIOS_0_CH[10]_H","SIUL","SIUL_IMCR570","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC14","46","22"
"","","","","0000_0010","IO_PAD","PTA15","83",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT40","",""
"eMIOS_0","eMIOS_0_CH[11]_H","SIUL","SIUL_IMCR571","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTC15","45","21"
"","","","","0000_0010","IO_PAD","PTA16","82",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT41","",""
"eMIOS_0","eMIOS_0_CH[12]_H","SIUL","SIUL_IMCR572","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTD8","42",""
"","","","","0000_0010","IO_PAD","PTA10","92","44"
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT42","",""
"eMIOS_0","eMIOS_0_CH[13]_H","SIUL","SIUL_IMCR573","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA11","91","43"
"","","","","0000_0010","IO_PAD","PTD9","41",""
"","","","","0000_0011","TRGMUX","TRGMUX_INT_OUT43","",""
"eMIOS_0","eMIOS_0_CH[14]_H","SIUL","SIUL_IMCR574","0000_0000","-","disable low","",""
"","","","","0000_0001","IO_PAD","PTA12","90","42"
"","","","","0000_0010","IO_PAD","PTC0","40",""
